Model,Accuracy,Confusion Matrix
"Standardized, linear SVM",0.9814814814814815,"[[19, 0, 0], [0, 20, 1], [0, 0, 14]]"
"Standardized, poly SVM",0.9629629629629629,"[[17, 2, 0], [0, 21, 0], [0, 0, 14]]"
"Standardized, rbf SVM",0.9814814814814815,"[[19, 0, 0], [0, 21, 0], [0, 1, 13]]"
"PCA (d=2), linear SVM",0.9814814814814815,"[[18, 1, 0], [0, 21, 0], [0, 0, 14]]"
"PCA (d=2), poly SVM",0.9444444444444444,"[[16, 3, 0], [0, 21, 0], [0, 0, 14]]"
"PCA (d=2), rbf SVM",1.0,"[[19, 0, 0], [0, 21, 0], [0, 0, 14]]"
"LDA (d=2), linear SVM",0.9814814814814815,"[[19, 0, 0], [1, 20, 0], [0, 0, 14]]"
"LDA (d=2), poly SVM",0.9444444444444444,"[[17, 2, 0], [0, 21, 0], [0, 1, 13]]"
"LDA (d=2), rbf SVM",0.9814814814814815,"[[19, 0, 0], [1, 20, 0], [0, 0, 14]]"
